Compound,Compound ID,Adducts,Formula,Score,Mass Error (ppm),Isotope Similarity,Theoretical Isotope Distribution,Description,m/z,Charge,Retention time (min),Anova (p),q Value,Max Fold Change,,Endogenous and blood,
0.70_297.2393m/z,HMDB0062521,M+H-H2O,C21H30O2,28.1,57.25156071,81.56360496,100 - 23.1 - 2.96 - 0.274,"pregn-5-ene-3,20-dione",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0060043,M+H-H2O,C22H34O,27.8,-58.53625839,80.84788298,100 - 24.2 - 3.01 - 0.256,13-HDoHE,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0036326,M+NH4,C16H25NO3,27.3,78.84637904,85.59458587,100 - 18.1 - 2.16 - 0.193,N-[(4-Hydroxy-3-methoxyphenyl)methyl]octanamide,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0001126,2M+H,C9H12N2,27.2,107.7264265,92.76641332,100 - 10.6 - 0.508,Nornicotine,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0005935,M+Na,C19H30O,27.2,74.37392722,83.53371601,100 - 20.9 - 2.29 - 0.173,Androstenol,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0034892,2M+H,C9H12N2,27.2,107.7264265,92.76641332,100 - 10.6 - 0.508,3-Ethyl-5-methyl-2-vinylpyrazine,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0036142,2M+H,C9H12N2,27.2,107.7264265,92.76641332,100 - 10.6 - 0.508,"6,7-Dihydro-2,3-dimethyl-5H-cyclopentapyrazine",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0039831,2M+H,C9H12N2,27.2,107.7264265,92.76641332,100 - 10.6 - 0.508,"6,7-Dihydro-2,5-dimethyl-5H-cyclopentapyrazine",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0039832,2M+H,C9H12N2,27.2,107.7264265,92.76641332,100 - 10.6 - 0.508,"6,7-Dihydro-2,6-dimethyl-5H-cyclopentapyrazine",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0039983,2M+H,C9H12N2,27.2,107.7264265,92.76641332,100 - 10.6 - 0.508,"2,5-Dimethyl-3-(2-propenyl)pyrazine",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
